SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,E,500002,EQUITY,0,ABB,1,ABB,,,,5,NA,ES,A,ABB INDIA LIMITED
BSE,E,500003,EQUITY,0,AEGISLOG,1,Aegis Logistics,,,,5,NA,ES,A,AEGIS LOGISTICS LTD.
BSE,E,500008,EQUITY,0,ARE&M,1,Amara Raja Energy & Mobility,,,,5,NA,ES,A,Amara Raja Energy & Mobil
BSE,E,500020,EQUITY,0,BOMDYEING,1,Bombay Dyeing,,,,5,NA,ES,A,BOMBAY DYEING & MFG.CO.LT
BSE,E,500027,EQUITY,0,ATUL,1,ATUL,,,,5,NA,ES,A,ATUL LTD.
BSE,E,500031,EQUITY,0,BAJAJELEC,1,Bajaj Electricals,,,,5,NA,ES,A,BAJAJ ELECTRICALS LTD.
BSE,E,500032,EQUITY,0,BAJAJHIND,1,Bajaj Hindusthan Sugar,,,,1,NA,ES,A,BAJAJ HINDUSTHAN SUGAR LI
BSE,E,500033,EQUITY,0,FORCEMOT,1,Force Motors,,,,5,NA,ES,A,FORCE MOTORS LTD.
BSE,E,500034,EQUITY,0,BAJFINANCE,1,Bajaj Finance ,,,,5,NA,ES,A,BAJAJ FINANCE LIMITED
BSE,E,500038,EQUITY,0,BALRAMCHIN,1,Balrampur Chini Mills,,,,5,NA,ES,A,BALRAMPUR CHINI MILLS LTD
BSE,E,500039,EQUITY,0,BANCOINDIA,1,Banco Products,,,,5,NA,ES,A,BANCO PRODUCTS (INDIA) LT
BSE,E,500040,EQUITY,0,ABREL,1,Aditya Birla Real Estate ,,,,5,NA,ES,A,ADITYA BIRLA REAL ESTATE 
BSE,E,500041,EQUITY,0,BANARISUG,1,Bannari Amman Sugars,,,,5,NA,ES,B,BANNARI AMMAN SUGARS LTD.
BSE,E,500042,EQUITY,0,BASF,1,BASF,,,,5,NA,ES,A,BASF INDIA LTD.
BSE,E,500043,EQUITY,0,BATAINDIA,1,Bata,,,,5,NA,ES,A,BATA INDIA LTD.
BSE,E,500048,EQUITY,0,BEML,1,BEML,,,,5,NA,ES,A,BEML LTD.
